,Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Stress_Level (1-10),Sleep_Hours_per_Night,Grade
0,1,23,93.95,64.48,55.32,75.06,87.33,3.55,60.93,99.8,5.0,0,1,8,6.9,1
1,0,21,70.78,64.76,93.78,51.85,62.11,9.98,59.07,53.64,20.9,0,1,9,7.2,1
2,1,24,96.0,81.83,52.55,80.97,80.64,4.35,54.76,86.08,29.0,0,1,4,4.8,1
3,0,23,52.61,69.23,71.16,52.15,64.49,1.19,90.57,50.96,14.2,0,1,8,5.4,2
4,1,19,,69.82,99.68,,76.39,3.46,95.19,99.16,7.8,0,1,1,8.3,3
5,0,20,58.58,41.56,63.98,99.98,93.64,8.47,68.43,96.39,19.6,1,1,7,4.1,2
6,0,22,63.06,65.87,71.61,95.02,64.36,7.87,53.31,51.99,16.9,0,1,10,5.8,1
7,1,19,67.7,51.69,49.05,85.35,64.25,5.35,95.91,96.27,13.6,0,1,6,5.2,2
8,1,19,84.23,70.62,78.15,61.62,54.0,4.44,91.8,99.62,25.0,1,1,5,5.4,1
9,0,21,,79.16,40.87,,57.36,7.45,56.72,86.05,18.8,1,1,7,7.5,2
10,0,21,90.07,78.42,68.04,98.32,77.75,9.93,57.0,52.21,21.7,0,1,10,5.6,1
11,1,18,69.89,69.5,44.37,78.48,95.93,4.77,76.0,74.82,22.7,1,1,3,8.1,2
12,0,18,92.98,85.39,78.5,60.41,68.54,0.19,80.5,82.18,20.3,0,1,4,6.9,1
13,1,21,58.32,65.74,83.71,77.68,79.85,9.32,52.21,78.46,24.0,1,0,9,4.7,2
14,0,22,98.54,75.62,92.49,58.33,77.4,9.66,67.44,88.67,14.7,0,1,10,7.6,1
15,0,24,81.98,94.39,56.51,62.35,66.67,4.11,99.42,78.22,23.4,1,1,1,4.4,2
16,0,22,63.88,95.6,69.81,95.42,79.02,9.42,52.37,69.65,28.9,0,1,10,8.8,2
17,0,23,67.27,78.0,74.17,59.45,61.91,6.07,93.26,97.31,23.1,1,1,2,6.1,2
18,1,21,69.26,68.23,69.3,86.17,88.51,5.63,69.83,91.05,16.0,0,1,10,5.4,2
19,1,18,78.03,68.99,77.8,82.65,98.45,2.76,53.12,74.68,21.2,1,1,9,6.4,1
20,1,24,85.74,91.77,76.28,53.8,61.34,1.37,91.52,67.55,11.8,0,1,9,6.6,1
21,1,18,79.01,82.75,72.32,72.47,85.89,7.79,80.38,58.23,26.5,1,1,6,8.9,1
22,0,21,85.43,64.07,67.42,59.07,72.27,4.17,64.41,78.68,5.6,0,1,6,4.8,1
23,0,19,,92.71,92.23,61.36,76.32,0.96,97.93,93.5,13.9,1,1,2,8.9,1
24,0,24,97.77,65.13,58.53,57.84,87.42,0.03,54.07,60.89,8.8,0,1,3,7.3,1
25,0,23,92.16,85.0,49.0,88.24,75.38,0.41,77.77,51.49,18.8,0,1,9,4.8,1
26,1,24,83.74,48.02,45.26,58.88,60.72,3.6,62.82,71.59,6.1,0,1,8,5.5,2
27,0,24,63.59,93.33,86.92,58.62,85.17,3.81,52.21,55.43,18.8,1,1,5,5.9,1
28,0,19,98.39,83.2,80.23,76.11,74.81,3.53,78.34,67.37,12.8,0,1,3,5.4,1
29,0,18,78.2,41.1,63.71,,68.23,3.05,97.67,77.04,18.0,1,0,7,4.3,3
30,1,21,70.41,70.73,53.71,72.25,51.24,1.14,92.14,72.8,28.6,0,1,7,4.9,1
31,0,19,77.04,75.9,86.88,,54.19,3.17,72.24,52.86,28.3,0,1,9,4.6,1
32,0,22,65.71,84.12,84.61,94.51,70.94,0.13,84.13,66.51,9.9,0,1,10,5.2,2
33,0,19,81.77,46.62,56.91,,63.89,2.66,93.64,96.4,28.6,1,1,3,6.7,2
34,0,24,89.47,57.77,41.63,52.64,86.49,6.91,74.34,66.87,23.5,1,1,2,6.1,1
35,0,19,88.95,53.12,83.18,54.95,67.38,6.02,71.77,81.56,29.9,0,1,8,5.3,1
36,1,19,80.75,74.34,92.94,60.91,51.15,2.39,65.19,66.81,13.0,0,1,2,7.4,1
37,1,22,66.82,82.74,81.02,55.26,76.69,4.32,97.47,54.89,28.6,1,0,4,8.9,1
38,1,24,50.06,98.48,93.9,69.26,86.82,1.77,99.35,55.28,9.1,1,0,9,7.2,3
39,0,22,84.43,69.98,42.26,89.67,68.2,3.77,86.11,86.41,26.8,0,1,6,7.9,2
40,1,19,90.23,47.22,91.96,50.35,80.08,2.0,88.15,95.6,28.8,0,1,1,5.8,1
41,1,18,52.3,49.8,64.18,57.63,65.79,4.13,81.9,90.24,23.5,0,1,3,5.6,2
42,1,24,72.67,85.39,76.97,76.86,98.46,8.23,75.15,52.89,25.6,1,1,1,7.7,2
43,0,20,72.25,78.56,60.12,62.69,62.12,3.41,76.62,98.72,8.1,1,0,8,6.0,2
44,0,22,71.03,56.81,69.57,52.38,79.39,3.12,83.69,71.34,23.0,1,1,2,5.2,1
45,0,19,,74.05,62.23,76.67,75.56,2.46,70.01,86.51,10.2,0,1,7,7.7,2
46,1,21,68.59,75.14,76.07,80.47,78.98,3.91,51.84,56.8,22.6,0,1,6,5.2,1
47,1,18,68.29,60.4,59.8,68.76,57.73,5.84,52.63,56.87,9.6,0,1,5,8.5,1
48,1,22,50.8,68.11,75.26,91.23,62.48,0.45,98.77,84.79,22.8,1,1,4,8.6,2
49,0,23,57.21,79.89,73.44,98.98,95.19,3.26,62.81,93.06,9.9,1,1,7,6.0,3
50,0,20,70.15,97.39,96.22,65.16,98.97,9.1,93.65,53.32,19.0,0,0,9,6.7,1
51,1,21,91.66,83.46,54.87,79.42,98.96,1.33,86.04,98.09,14.6,0,1,6,4.3,1
52,1,22,77.79,92.42,44.49,63.77,85.0,8.4,65.72,58.34,25.8,1,1,6,7.1,1
53,1,24,82.98,43.6,67.21,91.39,82.08,7.73,66.47,76.2,27.3,0,1,7,4.8,2
54,1,21,53.78,98.74,82.15,52.02,59.77,5.67,71.34,52.15,23.5,0,1,1,7.8,2
55,0,18,73.67,81.0,61.13,72.73,74.26,3.21,75.42,80.74,22.0,1,1,6,8.0,1
